Reversed left context	Reversed center	Left context	Center	Punct	Right context	Title	Author	Birthday	Header	Created	Sphere	Type	Topic	Publication	Publ_year	Medium	Ambiguity	Full context
 онсапо ищомоп к алгебирп зар	 огортсо 	раз прибегла к помощи опасно 	 острого 	 	 зонтика и, сломив сопротивление, победно	Борис Васильев. Были и небыли. Книга 1 (1988)	Борис Васильев	1924	Были и небыли. Книга 1	1988	художественная	роман	_			книга	омонимия не снята	Он все же догнал ее и попытался не пустить в следующие двери, но почтенная дама еще раз прибегла к помощи опасно острого зонтика и, сломив сопротивление, победно прошествовала дальше. [Борис Васильев. Были и небыли. Книга 1 (1988)] [омонимия не снята]
 ладЖ	 огортсо 	Ждал 	 острого 	 	 ножа бульдозера, короткого рева многотонных	Максим Иванов. Московский адрес Шаляпина // «Работница», 1988	Максим Иванов		Московский адрес Шаляпина	1988	нехудожественная, публицистика	статья	искусство и культура	«Работница»	1988	журнал	омонимия не снята	Ждал острого ножа бульдозера, короткого рева многотонных грузовиков, увозящих по ночам на городские свалки битый кирпич и обломки бревен… [Максим Иванов. Московский адрес Шаляпина // «Работница», 1988] [омонимия не снята]
 и хынриж зеб ― юущядащ	 хыртсо 	щадящую ― без жирных и 	 острых 	 	 блюд, жареного и консервов, полезнее	[Советы] // «Работница», 1988			[Советы]	1988	нехудожественная, публицистика	совет	здоровье и медицина	«Работница»	1988	журнал	омонимия не снята	А вот диету введите щадящую ― без жирных и острых блюд, жареного и консервов, полезнее всего молочно- растительная пища. [[Советы] // «Работница», 1988] [омонимия не снята]
 ,вапокыВ	 мыртсо 	Выкопав, 	 острым 	 	 ножом разрежьте корневища на части.	Осенние заботы // «Работница», 1988			Осенние заботы	1988	нехудожественная, публицистика	совет	дом и домашнее хозяйство	«Работница»	1988	журнал	омонимия не снята	Выкопав, острым ножом разрежьте корневища на части. [Осенние заботы // «Работница», 1988] [омонимия не снята]
 ыцижок то юащичо ыдолп еыдревТ	 мыртсо 	Твердые плоды очищаю от кожицы 	 острым 	 	 ножом, разрезаю томаты на четыре	Рецепты // «Работница», 1988			Рецепты	1988	нехудожественная, публицистика	рецепт	дом и домашнее хозяйство	«Работница»	1988	журнал	омонимия не снята	Твердые плоды очищаю от кожицы острым ножом, разрезаю томаты на четыре части и удаляю семечки ( если они оказываются внутри, дольку не трогаю). [Рецепты // «Работница», 1988] [омонимия не снята]
 с ядевдем ан ,мотел и	 йортсо 	и летом, на медведя с 	 острой 	 	 рогатиной отваживались ходить, лосей, оленей	С. М. Голицын. Сказания о земле Московской (1968-1988)	С. М. Голицын	1909	Сказания о земле Московской	1968-1988	нехудожественная, публицистика	очерк	история			книга	омонимия не снята	Охотились зимой и летом, на медведя с острой рогатиной отваживались ходить, лосей, оленей и косуль с луком и стрелами на водопойных тропах подстерегали, на бобров, соболей, куниц, горностаев, колонков капканы ставили. [С. М. Голицын. Сказания о земле Московской (1968-1988)] [омонимия не снята]
 лизар ,еевичдохан ,еевичеронсарк лыб но	 имыртсо 	он был красноречивее, находчивее, разил 	 острыми 	 	 стрелами своих доводов.	С. М. Голицын. Сказания о земле Московской (1968-1988)	С. М. Голицын	1909	Сказания о земле Московской	1968-1988	нехудожественная, публицистика	очерк	история			книга	омонимия не снята	А Юрий изворачивался, лгал, но он был красноречивее, находчивее, разил острыми стрелами своих доводов. [С. М. Голицын. Сказания о земле Московской (1968-1988)] [омонимия не снята]
 ьнечо ,йиктороК	 йыртсо 	Короткий, очень 	 острый 	 	 ланцет неумолимо полоснул белую мальчишескую	Аркадий Вайнер, Георгий Вайнер. Лекарство против страха (1987)	Аркадий Вайнер, Георгий Вайнер	1931 | 1938	Лекарство против страха	1987	художественная	роман	_			книга	омонимия не снята	Короткий, очень острый ланцет неумолимо полоснул белую мальчишескую кожу выше колена ― раз снаружи, раз изнутри, мелькнул светлый слой жира и сразу стал окрашиваться багровой струей хлынувшей в разрез крови. [Аркадий Вайнер, Георгий Вайнер. Лекарство против страха (1987)] [омонимия не снята]
 в икур ебо йобос дереп	 юуртсо 	перед собой обе руки в 	 острую 	 	 лодочку, обращаясь к залу.	Владимир Дудинцев. Белые одежды / Третья часть (1987)	Владимир Дудинцев	1918	Белые одежды / Третья часть	1987	художественная	роман	_			книга	омонимия не снята	Еще полслова, ― сказал Посошков, складывая перед собой обе руки в острую лодочку, обращаясь к залу. [Владимир Дудинцев. Белые одежды / Третья часть (1987)] [омонимия не снята]
 алунгордзв азиЛ ,иксечинре илачувзорп оннадижоен	 имыртсо 	неожиданно прозвучали ернически, Лиза вздрогнула 	 острыми 	 	 плечиками и отрезала: « Нет!» 	Владимир Личутин. Любостай (1987)	Владимир Личутин	1940	Любостай	1987	художественная	роман	_			книга	омонимия не снята	Слова неожиданно прозвучали ернически, Лиза вздрогнула острыми плечиками и отрезала: « Нет!»  [Владимир Личутин. Любостай (1987)] [омонимия не снята]
 а ,хацьлап ее в лыб	 йыртсо 	был в ее пальцах, а 	 острый 	 	 скальпель.	Владимир Личутин. Любостай (1987)	Владимир Личутин	1940	Любостай	1987	художественная	роман	_			книга	омонимия не снята	Каждое движение женщины было неторопливым и вместе с тем нежным, осторожным и непугливым, будто не пинцет был в ее пальцах, а острый скальпель. [Владимир Личутин. Любостай (1987)] [омонимия не снята]
 ьсилавобюЛ	 мыртсо 	Любовались 	 острым 	 	 парусом у горизонта, ― Якушев,	Вячеслав Рыбаков. Домоседы (1987)	Вячеслав Рыбаков	1958	Домоседы	1987	художественная	рассказ	_			книга	омонимия не снята	Любовались острым парусом у горизонта, ― Якушев, как обычно, крутился километрах в двух, не отплывая дальше, ― он сам рассказывал, какая жуть его берет, когда родной берег начинает пропадать. [Вячеслав Рыбаков. Домоседы (1987)] [омонимия не снята]
 с хищюавижахсар ,вониов зи умокин	 имыртсо 	никому из воинов, расхаживающих с 	 острыми 	 	 копьями в руках по тропинке	Глеб Голубев. Сын Неба (1987)	Глеб Голубев	1926	Сын Неба	1987	художественная	повесть	_			книга	омонимия не снята	Если бы он знал в тот момент, что его щитом так и не удастся воспользоваться никому из воинов, расхаживающих с острыми копьями в руках по тропинке на вершине крепостных стен и тревожно всматривающихся в ночную тьму!.. [Глеб Голубев. Сын Неба (1987)] [омонимия не снята]
 ясйишвуняторп ,нилтоК вортсО	 мыртсо 	Остров Котлин, протянувшийся 	 острым 	 	 клином с запада на восток,	С. Цветков. Дамба, разделившая ученых // «Знание ― сила», 1987	С. Цветков		Дамба, разделившая ученых	1987	нехудожественная, учебно-научная	статья	наука и технологии, природа	«Знание ― сила»	1987	журнал	омонимия не снята	Остров Котлин, протянувшийся острым клином с запада на восток, рассекает невскую воду на два неравнозначных потока: 60 процентов стока приходится на северную часть и только 40 процентов ― на южную. [С. Цветков. Дамба, разделившая ученых // «Знание ― сила», 1987] [омонимия не снята]
 как ми ,овтсечинечу отэ ,оно	 йыртсо 	оно, это ученичество, им как 	 острый 	 	 нож.	Анатолий Эфрос. Профессия: режиссер (1975-1987)	Анатолий Эфрос	1925	Профессия: режиссер	1975-1987	нехудожественная, публицистика	мемуары, эссе	_			книга	омонимия не снята	Многие думают как раз о том, чтобы скорее выйти из ученичества, поскольку оно, это ученичество, им как острый нож. [Анатолий Эфрос. Профессия: режиссер (1975-1987)] [омонимия не снята]
 метаз ,туним 03 -02 тюавижредыв	 мыртсо 	выдерживают 20- 30 минут, затем 	 острым 	 	 ножом режут на кусочки и	В. Гельгор. Мороз в середине лета // «Химия и жизнь», 1986	В. Гельгор		Мороз в середине лета	1986	нехудожественная, учебно-научная	статья	биология, наука и технологии	«Химия и жизнь»	1986	журнал	омонимия не снята	Слегка посыпав сверху мукой, накрывают чистой салфеткой и выдерживают 20- 30 минут, затем острым ножом режут на кусочки и раскатывают их. [В. Гельгор. Мороз в середине лета // «Химия и жизнь», 1986] [омонимия не снята]
 миовс ьрытагоб тенхам каК	 мыртсо 	Как махнет богатырь своим 	 острым 	 	 мечом раз- два, так и	В. Рич. Вторая жизнь мамонта, или Откуда у Горыныча хобот // «Химия и жизнь», 1986	В. Рич		Вторая жизнь мамонта, или Откуда у Горыныча хобот	1986	нехудожественная, учебно-научная	статья	наука и технологии, филология	«Химия и жизнь»	1986	журнал	омонимия не снята	Как махнет богатырь своим острым мечом раз- два, так и снес у нечистой силы шесть голов; а чудо- юдо ударил ― по колена его в сыру землю вогнал». [В. Рич. Вторая жизнь мамонта, или Откуда у Горыныча хобот // «Химия и жизнь», 1986] [омонимия не снята]
 иларб ен огороток и менго	 еыртсо 	огнем и которого не брали 	 острые 	 	 копья.	Дмитрий Каралис. Летающий водопроводчик (1986)	Дмитрий Каралис	1949	Летающий водопроводчик	1986	художественная	рассказ	_			книга	омонимия не снята	Долго прятались в кустах, подвалах и под крышами строений местные жители, напуганные вознесшимся в небо человеком, который выпускал из ноздрей дым, пил неразведенное вино, сыпал сверху огнем и которого не брали острые копья. [Дмитрий Каралис. Летающий водопроводчик (1986)] [омонимия не снята]
'…нисорек йылеб тенхап окдалС 	'	 йыртсО 	'	 Сладко пахнет белый керосин…'	 Острый 	 	 нож да хлеба каравай…	Ю. М. Нагибин. Голгофа Мандельштама (1986)	Ю. М. Нагибин	1920	Голгофа Мандельштама	1986	нехудожественная, публицистика	очерк	_			книга	омонимия не снята	'посидим,  	 Сладко пахнет белый керосин… Острый нож да хлеба каравай… [Ю. М. Нагибин. Голгофа Мандельштама (1986)] [омонимия не снята]'
 ― акитирк а ,нотеьлеф отЭ	 еортсо 	Это фельетон, а критика ― 	 острое 	 	 оружие… Понимать надо, ― добавил	Евгений Велтистов. Классные и внеклассные приключения необыкновенных первоклассников (1985)	Евгений Велтистов	1934	Классные и внеклассные приключения необыкновенных первоклассников	1985	художественная	повесть	_			книга	омонимия не снята	И объяснил словами корреспондента Силкиной: ― Это фельетон, а критика ― острое оружие… Понимать надо, ― добавил он от себя. [Евгений Велтистов. Классные и внеклассные приключения необыкновенных первоклассников (1985)] [омонимия не снята]
 ан имялфут имихил ьсилавичнаказ ен	 хыртсо 	не заканчивались лихими туфлями на 	 острых 	 	 шпильках- каблуках, но переходили в	Эдуард Лимонов. Молодой негодяй (1985)	Эдуард Лимонов	1943	Молодой негодяй	1985	художественная	роман	_			книга	омонимия не снята	Ноги Анны против обыкновения не заканчивались лихими туфлями на острых шпильках- каблуках, но переходили в замшевые бескаблучные сапоги цвета дерьма алкоголика. [Эдуард Лимонов. Молодой негодяй (1985)] [омонимия не снята]
 как ,мымитарвтоен и ,имачут жем	 йыртсо 	меж тучами, и неотвратимым, как 	 острый 	 	 нож, приставленный к горлу, чувством жизни,	Анатолий Ким. Белка (1984)	Анатолий Ким	1939	Белка	1984	художественная	роман	_			книга	омонимия не снята	Неужели и мне, внезапно захваченному пронзительно- синим, как щель неба меж тучами, и неотвратимым, как острый нож, приставленный к горлу, чувством жизни, ― мне так и не решить про себя, куда и зачем идти по зеленым туманным узорам отросшей отавы?  [Анатолий Ким. Белка (1984)] [омонимия не снята]
 и ,ябес алевоп ончаду гурдв	 еыртсо 	вдруг удачно повела себя, и 	 острые 	 	 резцы белки глубоко впились в	Анатолий Ким. Белка (1984)	Анатолий Ким	1939	Белка	1984	художественная	роман	_			книга	омонимия не снята	Оставшаяся часть вдруг удачно повела себя, и острые резцы белки глубоко впились в переносье чудовища, в мягкую и беззащитную плоть. [Анатолий Ким. Белка (1984)] [омонимия не снята]
 яслищерем ,омидив ,мачон оп уме	 йыртсо 	ему по ночам, видимо, мерещился 	 острый 	 	 нож с ложбинкой на лезвии,	Виль Липатов. И это все о нем (1984)	Виль Липатов	1927	И это все о нем	1984	художественная	роман	_			книга	омонимия не снята	Ему, конечно, было приятно беседовать со своим, сибирским человеком, он, конечно, с большой симпатией относился к Прохорову, во всем доверял ему, но был так запуган, что ему по ночам, видимо, мерещился острый нож с ложбинкой на лезвии, он, наверное, просыпался в холодном поту и от ужаса опять закрывал глаза. [Виль Липатов. И это все о нем (1984)] [омонимия не снята]
 алажред хацьлап в ,атхерБ »ырепо	 юуртсо 	оперы» Брехта, в пальцах держала 	 острую 	 	 сигарету.	Виль Липатов. И это все о нем (1984)	Виль Липатов	1927	И это все о нем	1984	художественная	роман	_			книга	омонимия не снята	Эта женщина на желтой глине оставляла следы острых каблуков, играла замысловатую роль из « Трехгрошовой оперы» Брехта, в пальцах держала острую сигарету. [Виль Липатов. И это все о нем (1984)] [омонимия не снята]
 мыннилд с еьжур в яслитарверп	 мыртсо 	превратился в ружье с длинным 	 острым 	 	 штыком.	Виль Липатов. И это все о нем (1984)	Виль Липатов	1927	И это все о нем	1984	художественная	роман	_			книга	омонимия не снята	Потом не стало налима, и вообще ничего не стало, но сачок наконец- то охотно превратился в ружье с длинным острым штыком. [Виль Липатов. И это все о нем (1984)] [омонимия не снята]
 лакыт акшелА апокдоп ертун момас	 мыртсо 	самом нутре подкопа Алешка тыкал 	 острым 	 	 ломиком- щупом под ногами, а	Владимир Маканин. Утрата (1984)	Владимир Маканин	1937	Утрата	1984	художественная	рассказ	_			книга	омонимия не снята	В темноте, в самом нутре подкопа Алешка тыкал острым ломиком- щупом под ногами, а Пекалов держал свечу. [Владимир Маканин. Утрата (1984)] [омонимия не снята]
 вунктов ,учевс лисевоп волакеП	 йыртсо 	Пекалов повесил свечу, воткнув 	 острый 	 	 крюк подсвечника в боковой свод.	Владимир Маканин. Утрата (1984)	Владимир Маканин	1937	Утрата	1984	художественная	рассказ	_			книга	омонимия не снята	Пекалов повесил свечу, воткнув острый крюк подсвечника в боковой свод. [Владимир Маканин. Утрата (1984)] [омонимия не снята]
 еенем или еелоб с ундо	 мыртсо 	одну с более или менее 	 острым 	 	 гребнем; а также увидели две	Владимир Маканин. Утрата (1984)	Владимир Маканин	1937	Утрата	1984	художественная	рассказ	_			книга	омонимия не снята	Увидели они эти невысокие две горы: одну сточенную временем, а одну с более или менее острым гребнем; а также увидели две сливающиеся речушки, нет, можно и уточнить ― они увидели только Марченовку, тогда она была без названия, но они ее увидели и сказали: смотрите, мол, речушка вся в купах деревьев. [Владимир Маканин. Утрата (1984)] [омонимия не снята]
' ьшиЛ 	 ишороХ 	 '	 еыртсо 	' 	 Хороши 	 Лишь '	 острые 	 	 карандаши! 	Юрий Дружков (Постников). Волшебная школа (1984)	Юрий Дружков (Постников)	1927	Волшебная школа	1984	художественная	сказка	_			книга	омонимия не снята	'Но только помни:  	 Хороши 	 Лишь острые карандаши!  [Юрий Дружков (Постников). Волшебная школа (1984)] [омонимия не снята]'
 ьдубин-йокак оге ьтолокорп илсе ,кираш	 йортсо 	шарик, если проколоть его какой-нибудь 	 острой 	 	 булавкой.	Юрий Дружков (Постников). Волшебная школа (1984)	Юрий Дружков (Постников)	1927	Волшебная школа	1984	художественная	сказка	_			книга	омонимия не снята	И тоненький голубой шар начал падать, словно детский шарик, если проколоть его какой-нибудь острой булавкой. [Юрий Дружков (Постников). Волшебная школа (1984)] [омонимия не снята]
 ведиву ,акьнетсаН алатпешорп ― ,оншемс	 еыртсо 	смешно, ― прошептала Настенька, увидев 	 острые 	 	 кнопки внутри тапочек.	Юрий Дружков (Постников). Волшебная школа (1984)	Юрий Дружков (Постников)	1927	Волшебная школа	1984	художественная	сказка	_			книга	омонимия не снята	Совсем не смешно, ― прошептала Настенька, увидев острые кнопки внутри тапочек. [Юрий Дружков (Постников). Волшебная школа (1984)] [омонимия не снята]
 еиклем тюавылакоп вецьлап икичноК	 еыртсо 	Кончики пальцев покалывают мелкие 	 острые 	 	 иголки.	Геннадий Алексеев. Зеленые берега (1983-1984)	Геннадий Алексеев	1932	Зеленые берега	1983-1984	художественная	роман	_			книга	омонимия не снята	Кончики пальцев покалывают мелкие острые иголки. [Геннадий Алексеев. Зеленые берега (1983-1984)] [омонимия не снята]
 илыб ивЭ У	 еыртсо 	У Эви были 	 острые 	 	 лопатки, а позвоночник из холодных	Сергей Довлатов. Компромисс (1981-1984)	Сергей Довлатов	1941	Компромисс	1981-1984	художественная	повесть	_			книга	омонимия не снята	У Эви были острые лопатки, а позвоночник из холодных морских камешков… Она тихо вскрикивала и дрожала… Хрупкая пестрая бабочка в неплотно сжатом кулаке… [Сергей Довлатов. Компромисс (1981-1984)] [омонимия не снята]
 енго ан алилакорп ,икчопярт аларитсыв	 йыртсо 	выстирала тряпочки, прокалила на огне 	 острый 	 	 ножик…	Александр Крон. Капитан дальнего плавания (1983)	Александр Крон	1909	Капитан дальнего плавания	1983	художественная	повесть	_			книга	омонимия не снята	У старшей девочки на ногах вздулись кровавые волдыри, и Валентина Ивановна решилась самолично сделать операцию: выстирала тряпочки, прокалила на огне острый ножик… [Александр Крон. Капитан дальнего плавания (1983)] [омонимия не снята]
 витуркоп ,огежзеирп ьтитевсорп ьсяпорот ,)мокичьлоколок	 йортсо 	колокольчиком), торопясь просветить приезжего, покрутив 	 острой 	 	 указкой, объяснила: « Здесь перед нами	В. Лихоносов. Ненаписанные воспоминания. Наш маленький Париж. Ч. 1-2 (1983)	В. Лихоносов	1936	Ненаписанные воспоминания. Наш маленький Париж. Ч. 1-2	1983	художественная	роман	_			книга	омонимия не снята	И экскурсовод Наталья ( пышненькая особа с голоском- колокольчиком), торопясь просветить приезжего, покрутив острой указкой, объяснила: « Здесь перед нами находится самовар XIX века, подаренный, по некоторым сведениям ( у нас где-то записано), крепостной кормилице Анисье каким-то великим князем, ― по некоторым данным, наместником Кавказа…»  [В. Лихоносов. Ненаписанные воспоминания. Наш маленький Париж. Ч. 1-2 (1983)] [омонимия не снята]
 яакак ,гулп тешап окгел как	 яартсо 	как легко пашет плуг, какая 	 острая 	 	 коса, как спеют большие тыквы,	В. Лихоносов. Ненаписанные воспоминания. Наш маленький Париж. Ч. 1-2 (1983)	В. Лихоносов	1936	Ненаписанные воспоминания. Наш маленький Париж. Ч. 1-2	1983	художественная	роман	_			книга	омонимия не снята	Ему, любившему, чтобы хорошо были откормлены волы, вовремя исправлен воз, ему, млевшему оттого, как легко пашет плуг, какая острая коса, как спеют большие тыквы, дыни, кавуны, было тошно застать с возрастом разорение там, где отцы и деды Бурсаков дорожили добром. [В. Лихоносов. Ненаписанные воспоминания. Наш маленький Париж. Ч. 1-2 (1983)] [омонимия не снята]
 ан ьсиласорб ,юуно итсапс яалеж	 йыртсо 	желая спасти оную, бросались на 	 острый 	 	 нож или в глубокие реки! 	Н. Эйдельман. Последний летописец (1983)	Н. Эйдельман	1930	Последний летописец	1983	нехудожественная, публицистика	монография	история, наука и технологии			книга	омонимия не снята	Матери плакали о детях, пред их глазами растоптанных конями татарскими, а девы о своей невинности: сколь многие из них, желая спасти оную, бросались на острый нож или в глубокие реки!  [Н. Эйдельман. Последний летописец (1983)] [омонимия не снята]
 еж мет с есв яикодвЕ	 мыртсо 	Евдокия все с тем же 	 острым 	 	 гвоздем в сердце, мешавшим дышать,	Петр Проскурин. В старых ракитах (1983)	Петр Проскурин	1928	В старых ракитах	1983	художественная	повесть	_			книга	омонимия не снята	выдохнула из себя Евдокия все с тем же острым гвоздем в сердце, мешавшим дышать, она шагнула к повозке, споткнулась и остановилась, беспомощно придерживая разрывавшуюся грудь. [Петр Проскурин. В старых ракитах (1983)] [омонимия не снята]
 и теавыБ	 йортсо 	Бывает и 	 острой 	 	 топор, а в дерево с	Алексей Иванов. За рекой, за речкой (1982)	Алексей Иванов	1969	За рекой, за речкой	1982	художественная	роман	_			книга	омонимия не снята	Бывает и острой топор, а в дерево с хрустом лезет… Мой вон без шума работает. [Алексей Иванов. За рекой, за речкой (1982)] [омонимия не снята]
 ин ьсилаваддоп ен ежад и	 умортсо 	и даже не поддавались ни 	 острому 	 	 ножу, ни тяжелому топору.	Аркадий Кощеев. Царство флоры // «Уральский следопыт», 1982	Аркадий Кощеев		Царство флоры	1982	нехудожественная, публицистика	статья	природа	«Уральский следопыт»	1982	журнал	омонимия не снята	Сапожные колодки, сделанные из осины и высушенные особым способом, были самыми крепкими и легкими: они не трескались, долго не изнашивались и даже не поддавались ни острому ножу, ни тяжелому топору. [Аркадий Кощеев. Царство флоры // «Уральский следопыт», 1982] [омонимия не снята]
 ястидохс адарго едг ,маТ	 мыртсо 	Там, где ограда сходится 	 острым 	 	 клином с оградой другой стороны	Эдуард Лимонов. Подросток Савенко (1982)	Эдуард Лимонов	1943	Подросток Савенко	1982	художественная	роман	_			книга	омонимия не снята	Там, где ограда сходится острым клином с оградой другой стороны сквера и асфальтовая узкая дорожка врезается с налету в трамвайные пути, чтобы их пересечь, их встречает жуткий вой и летящие камни. [Эдуард Лимонов. Подросток Савенко (1982)] [омонимия не снята]
 ан ьсюаминдоП	 йыртсо 	Поднимаюсь на 	 острый 	 	 гребень.	Ю. Борисихин. Отвага // «Уральский следопыт», 1982	Ю. Борисихин		Отвага	1982	нехудожественная, публицистика	очерк	путешествия	«Уральский следопыт»	1982	журнал	омонимия не снята	Поднимаюсь на острый гребень. [Ю. Борисихин. Отвага // «Уральский следопыт», 1982] [омонимия не снята]
 тилавто онмонокэ ацищвадорп йороток то	 мыртсо 	от которой продавщица экономно отвалит 	 острым 	 	 ножом небольшой кусок.	Анатолий Приставкин. Ночевала тучка золотая (1981)	Анатолий Приставкин	1931	Ночевала тучка золотая	1981	художественная	повесть	_			книга	омонимия не снята	Но каждый талон, и два, и три, только малая часть целой буханки, от которой продавщица экономно отвалит острым ножом небольшой кусок. [Анатолий Приставкин. Ночевала тучка золотая (1981)] [омонимия не снята]
 щиравот йом ,щиравот йоМ	 йыртсо 	Мой товарищ, мой товарищ 	 острый 	 	' нож,  	 Ох, да сабля'	Анатолий Приставкин. Ночевала тучка золотая (1981)	Анатолий Приставкин	1931	Ночевала тучка золотая	1981	художественная	повесть	_			книга	омонимия не снята	'Мой товарищ, мой товарищ острый нож,  	 Ох, да сабля ли- хо- дей- ка!  [Анатолий Приставкин. Ночевала тучка золотая (1981)] [омонимия не снята]'
 отдуб оге визнорп ,еолшорп олсерксов	 мыртсо 	воскресло прошлое, пронзив его будто 	 острым 	 	 ножом.	Гассан Канафани (перевод). Возвращение в Хафу // «Огонек», 1981	Гассан Канафани (перевод)	1936	Возвращение в Хафу	1981	художественная	отрывок, роман	_	«Огонек»	1981	журнал	омонимия не снята	В памяти воскресло прошлое, пронзив его будто острым ножом. [Гассан Канафани (перевод). Возвращение в Хафу // «Огонек», 1981] [омонимия не снята]
 ьлсым яанневтсниде -андО	 мыртсо 	Одна- единственная мысль 	 острым 	 	 гвоздем стоит в сознании: если	В. П. Катаев. Юношеский роман (1980-1981)	В. П. Катаев	1897	Юношеский роман	1980-1981	художественная	роман	_			книга	омонимия не снята	Одна- единственная мысль острым гвоздем стоит в сознании: если немецкий снаряд прямым попаданием угодит в нашу землянку, то не то что убьет, а испепелит, превратит в ничто. [В. П. Катаев. Юношеский роман (1980-1981)] [омонимия не снята]
 горип ьтазерзар ,тенытсаз оно адгоК	 мыртсо 	Когда оно застынет, разрезать пирог 	 острым 	 	 ножом на пирожные — нож	Л. Витальева. Летний десерт // «Работница», 1980	Л. Витальева		Летний десерт	1980	нехудожественная, публицистика	рецепт, цикл	дом и домашнее хозяйство	«Работница»	1980	журнал	омонимия не снята	Когда оно застынет, разрезать пирог острым ножом на пирожные — нож каждый раз надо опускать в горячую воду. [Л. Витальева. Летний десерт // «Работница», 1980] [омонимия не снята]
 оге яазеран ,абелх огонажр икйап	 мыртсо 	пайки ржаного хлеба, нарезая его 	 острым 	 	 ножом, каждый раз опуская нож	В. П. Катаев. Уже написан Вертер (1979)	В. П. Катаев	1897	Уже написан Вертер	1979	художественная	повесть	_			книга	омонимия не снята	Она увидела утро Первого мая и лавочные весы с медными чашками, на которых бывший меньшевик, а ныне беспартийный, некто по фамилии Кейлис, завхоз, лысый пожилой еврей в старорежимном люстриновом пиджаке, педантично взвешивал первомайские пайки ржаного хлеба, нарезая его острым ножом, каждый раз опуская нож в ведро с водой, чтобы липкий хлеб лучше резался. [В. П. Катаев. Уже написан Вертер (1979)] [омонимия не снята]
 гереб в олидохв ером и	 мыртсо 	и море входило в берег 	 острым 	 	 клином.	Владислав Крапивин. Трое с площади Карронад (1979)	Владислав Крапивин	1938	Трое с площади Карронад	1979	художественная	повесть	_			книга	омонимия не снята	Пляжной полоски внизу не было, и море входило в берег острым клином. [Владислав Крапивин. Трое с площади Карронад (1979)] [омонимия не снята]
 алш окгеЛ	 яартсо 	Легко шла 	 острая 	 	 пила, двумя руками в варежках	Г. Я. Бакланов. Навеки девятнадцатилетние (1979)	Г. Я. Бакланов	1923	Навеки девятнадцатилетние	1979	художественная	повесть	_			книга	омонимия не снята	Легко шла острая пила, двумя руками в варежках Саша тянула ее на себя, потом и варежки скинула: жарко сделалось. [Г. Я. Бакланов. Навеки девятнадцатилетние (1979)] [омонимия не снята]
 еомас онеревод олыб укинтобартилоп оннеми	 еортсо 	именно политработнику было доверено самое 	 острое 	 	 оружие в годы войны.	Л. И. Брежнев. Малая земля (1979)	Л. И. Брежнев	1906	Малая земля	1979	нехудожественная, публицистика	мемуары	_			книга	омонимия не снята	И если учесть, что боевой дух войск всегда признавался важнейшим фактором стойкости войск, то именно политработнику было доверено самое острое оружие в годы войны. [Л. И. Брежнев. Малая земля (1979)] [омонимия не снята]
 с еинелбосопсирп еонжолс иламудирп воцнок	 имыртсо 	концов придумали сложное приспособление с 	 острыми 	 	 гвоздями, торчащими у меня сзади.	Юрий Никулин. Клоуна надо видеть (1979)	Юрий Никулин	1921	Клоуна надо видеть	1979	нехудожественная, публицистика	мемуары	_			книга	омонимия не снята	В конце концов придумали сложное приспособление с острыми гвоздями, торчащими у меня сзади. [Юрий Никулин. Клоуна надо видеть (1979)] [омонимия не снята]
 и окичил ее ,епук еж	 еыртсо 	же купе, ее личико и 	 острые 	 	 плечики, у меня, милейший, просто	Василий Аксенов. Остров Крым (1977-1979)	Василий Аксенов	1932	Остров Крым	1977-1979	художественная	роман	_			книга	омонимия не снята	Свою девушку я сразу увидел, в первом же купе, ее личико и острые плечики, у меня, милейший, просто голова закружилась, когда я понял, что это моя девушка. [Василий Аксенов. Остров Крым (1977-1979)] [омонимия не снята]
